126	7732	32
19251	5199	2
24104	9321	0
109	5161	16
739	9733	0
1649	9423	14
110	9863	2
105	9939	13
358	5230	10
8	240	10
12	8978	3
132	3926	4
700	5294	7
17398	7478	10
15784	1973	3
727	4023	12
646	949	2
166	9401	12
3425	4491	6
109	2020	14
101	511	25
1238	9117	15
876	8302	2
101	8126	10
530	5726	33
10	8351	9
1665	9797	12
109	1222	18
322	5714	9
9494	40	5
607	8136	12
1771	3813	0
1348	586	15
2140	5207	1
117	1652	6
237	3166	14
132	730	9
18870	9431	21
111	448	3
490	9649	13
154	7117	15
367	3420	3
450	4732	9
145	4819	15
103	1784	3
762	471	9
330	3624	2
1	3735	9
102	758	13
6432	9192	25
153	1162	4
12825	3936	4
250	7632	10
294	9331	6
940	6137	4
305	9207	10
102	2675	2
154	3179	13
2037	6521	19
12	1022	18
102	5877	17
255	565	12
2393	4724	11
165	1473	1
282	424	27
102	4633	15
1450	2437	16
19301	3277	18
226	3895	8
173	74	1
283	6080	13
5058	6097	16
317	5193	23
755	5322	20
2355	8536	5
2937	3800	14
452	4340	7
138	4775	15
110	5317	7
101	8304	2
135	6572	22
629	1171	3
104	2684	17
110	8969	2
3418	4252	12
116	5019	14
1235	722	4
397	8863	26
14	8071	11
1160	7189	11
105	413	4
105	2748	1
126	9953	11
150	7383	15
1509	4790	4
270	3643	0
102	8945	4
1955	363	3
1112	8373	9
143	8186	0
494	2655	4
114	4656	8
9898	2165	3
6616	180	7
3448	2835	1
1663	615	3
276	3213	0
24391	7957	22
256	50	28
1740	2002	18
11487	3822	7
2469	6137	15
121	8601	22
110	6563	6
101	5685	1
310	4505	8
113	6252	6
101	6526	12
101	979	1
651	3583	24
104	4889	12
108	5230	2
277	4577	28
3877	9228	17
1001	5683	18
12	8510	27
12	1691	10
5944	2916	11
550	6288	9
24772	5487	7
713	8680	3
186	6232	4
9	182	12
101	403	3
4879	8986	4
3781	9287	1
240	3570	7
221	7697	17
288	5775	0
427	5761	6
178	778	0
1500	2500	15
2133	7687	7
110	3489	14
101	1529	11
115	251	14
535	5486	3
334	1188	26
130	9874	7
499	4355	7
750	3715	18
8934	9753	5
105	2904	9
12651	19	9
337	6556	9
167	3289	26
105	8695	3
386	9445	11
12	4639	20
6061	4567	6
21340	8911	10
21398	8538	2
104	4154	4
155	3215	6
245	6570	7
10029	345	12
101	6749	4
2358	1168	5
983	4772	40
103	5309	15
237	312	15
101	7571	6
116	5653	14
111	4705	7
600	285	0
12677	2938	38
679	1795	8
121	820	17
679	7598	5
110	3266	4
2566	3439	25
642	5162	8
538	4969	15
1858	1225	15
160	4871	27
661	7563	3
155	711	26
164	552	10
184	8120	7
514	4035	7
104	4984	3
14	66	11
485	1857	4
105	5276	29
5740	650	13
123	8463	15
111	6566	15
20810	134	6
176	5251	23
101	499	24
